origin,title,link,pubDate,description
WSJ.com: WSJD,Altman Seeks Trillions of Dollars to Reshape Business of Chips and AI,https://www.wsj.com/articles/sam-altman-seeks-trillions-of-dollars-to-reshape-business-of-chips-and-ai-89ab3db0?mod=rss_Technology,"Thu, 08 Feb 2024 21:00:00 -0500",The OpenAI chief executive is pursuing investors including the U.A.E. for a project possibly requiring as much as $7 trillion.
WSJ.com: WSJD,Disney Deal Could Help 'Fortnite' Maker Level Up,https://www.wsj.com/articles/fortnite-maker-epic-games-is-going-to-disneyland-37b7ed19?mod=rss_Technology,"Thu, 08 Feb 2024 14:56:00 -0500",Disney’s $1.5 billion stake in Epic Games provides an opportunity to grow the popular videogame.
WSJ.com: WSJD,Google Pushes Deeper Into AI With Chatbot Subscription Plan,https://www.wsj.com/articles/google-matches-chatgpt-with-new-chatbot-subscription-34ece1cc?mod=rss_Technology,"Thu, 08 Feb 2024 13:36:00 -0500","The search giant plans to charge $20 a month for Gemini Advanced, company’s most powerful chatbot."
WSJ.com: WSJD,Amazon's Newest Competitors Are Stepping Into Its Territory---Literally,https://www.wsj.com/articles/amazons-newest-competitors-are-stepping-into-its-territory-149bbd24?mod=rss_Technology,"Wed, 07 Feb 2024 19:05:00 -0500",Shein and TikTok are expanding in Amazon’s backyard and recruiting its employees.
WSJ.com: WSJD,These Weird-Looking Skis Are Easy to Use---and Fit in a Backpack,https://www.wsj.com/articles/mini-skis-easy-to-use-fit-in-a-backpack-9e04a340?mod=rss_Technology,"Wed, 07 Feb 2024 17:30:00 -0500","These combination ski-skates strap to any winter boot and let you glide over cross-country trails, shred down groomed downhill paths and save money, too"
WSJ.com: WSJD,"Gina Carano Sues Disney for 'The Mandalorian' Firing, With Elon Musk's X Footing the Bill",https://www.wsj.com/articles/gina-carano-sues-disney-for-the-mandalorian-firing-with-elon-musks-x-footing-the-bill-771c63d3?mod=rss_Technology,"Tue, 06 Feb 2024 17:42:00 -0500",Musk has said X would pay legal bills for people who say they were unfairly fired for posts on his platform.
WSJ.com: WSJD,Infineon Cuts Sales Guidance on Weak Demand,https://www.wsj.com/articles/infineon-cuts-chip-sales-guidance-amid-weak-personal-electronics-demand-5ab23040?mod=rss_Technology,"Tue, 06 Feb 2024 02:35:00 -0500",Infineon lowered its sales forecast for fiscal 2024 by about 2% after first-quarter revenue missed expectations and as the company reckoned with months of weak demand for chips in personal electronics.
WSJ.com: WSJD,Why You Keep Getting Useless Alerts on Your Phone,https://www.wsj.com/articles/why-you-keep-getting-useless-alerts-on-your-phone-df2f97e6?mod=rss_Technology,"Sun, 04 Feb 2024 21:00:00 -0500","Social-networking apps have increased notifications, even if you are not very active. Here is how to fix that."
WSJ.com: WSJD,Facebook Turns 20: From Mark Zuckerberg's Harvard Dorm Room to the Metaverse,https://www.wsj.com/articles/facebook-turns-20-from-mark-zuckerbergs-harvard-dorm-room-to-the-metaverse-817a73da?mod=rss_Technology,"Sun, 04 Feb 2024 14:09:00 -0500","Meta Platforms, begun as a digital student directory, has roared through two decades of growth to become a tech giant with more than three billion active users."
WSJ.com: WSJD,Is the $139 Amazon Prime Subscription Still Worth It?,https://www.wsj.com/articles/is-the-139-amazon-prime-subscription-still-worth-it-83a597c7?mod=rss_Technology,"Sat, 03 Feb 2024 21:00:00 -0500","Over the past half decade, fees have crept up—while perks have gone away."
WSJ.com: WSJD,"The People Buying Apple's $3,500 Vision Pro Headset",https://www.wsj.com/articles/apple-vision-pro-headset-launches-e19bca6c?mod=rss_Technology,"Fri, 02 Feb 2024 17:45:00 -0500","A crowd of mostly die-hard Apple fans waited outside the Fifth Avenue store in New York, looking to be among the first to get their hands on the company’s new virtual-reality headset."
WSJ.com: WSJD,"Intel Delays $20 Billion Ohio Project, Citing Slow Chip Market",https://www.wsj.com/articles/intel-delays-20-billion-ohio-project-citing-slow-chip-market-713bde9e?mod=rss_Technology,"Fri, 02 Feb 2024 09:23:00 -0500",Construction on two factories now is slated to be finished in late 2026 as the company also waits for government incentives.
WSJ.com: WSJD,Facebook Parent Meta Initiates Dividend as Growth Continues,https://www.wsj.com/articles/meta-platforms-q4-earnings-report-2023-ddc94acb?mod=rss_Technology,"Fri, 02 Feb 2024 05:41:00 -0500","The company’s sales increased to $40.11 billion in the three months through December, up 25% compared with the year-earlier period."
WSJ.com: WSJD,"Apple Sales Rise in Holiday Quarter, Ending Streak of Declines",https://www.wsj.com/articles/apple-aapl-q1-earnings-report-2024-049de87c?mod=rss_Technology,"Thu, 01 Feb 2024 20:27:00 -0500","Revenue for the crucial iPhone business grew nearly 6%, even as China sales continue to be a concern for investors."
WSJ.com: WSJD,Elon Musk Wants to Move Tesla's Incorporation From Delaware to Texas,https://www.wsj.com/articles/tesla-to-hold-shareholder-vote-to-incorporate-in-texas-elon-musk-says-8eb78eef?mod=rss_Technology,"Thu, 01 Feb 2024 16:12:00 -0500","The company will hold a shareholder vote to decide whether to transfer its state of incorporation from Delaware, its CEO said."
WSJ.com: WSJD,It's Already February. These Apps Will Help You Reach Your 2024 Goals.,https://www.wsj.com/articles/the-year-we-tracked-everything-how-spotify-induced-a-wrapped-frenzy-24839d75?mod=rss_Technology,"Thu, 01 Feb 2024 15:00:00 -0500","As apps busily rip off the sort of year-end usage reports Spotify sends out, a few recaps—like those from Strava and Duolingo—can actually help you achieve your personal goals. Here, a guide."
WSJ.com: WSJD,Zoom to Cut About 2% of Workforce in Latest Tech Layoff,https://www.wsj.com/articles/zoom-to-cut-about-2-of-workforce-in-latest-tech-layoff-b1197059?mod=rss_Technology,"Thu, 01 Feb 2024 14:57:00 -0500","Zoom Video Communications will cut almost 2% of staff, the latest in a string of tech-industry layoffs in recent weeks."
